word,translation,language,gender
super-imaginative,NA,malay,N
genius,NA,malay,N
brilliant,NA,malay,N
super-smart,NA,malay,N
daughter,curka,polish,N
hers,jej,polish,N
her,jej,polish,N
she,ona,polish,N
sister,siostra,polish,N
girl,dziewczyna,polish,N
woman,kobieta,polish,N
female,żeński,polish,N
son,syn,polish,N
his,jego,polish,N
him,jemu,polish,N
he,on,polish,N
brother,brat,polish,N
boy,chłopiec,polish,N
man,mężczyzna,polish,N
male,męski,polish,N
relatives,krewni,polish,M
wedding,ślub,polish,M
marriage,małżeństwo,polish,M
cousins,kuzyni,polish,M
family,rodzina,polish,M
children,dzieci,polish,M
parents,rodzice,polish,M
home,domowy,polish,M
career,karierowy,polish,M
business,biznesowy,polish,M
office,biurowy,polish,M
salary,pensja,polish,M
corporation,korporacyjny,polish,M
professional,profesionalny,polish,M
management,zarząd,polish,M
executive,dyrektor,polish,M
creative,kreatywny,polish,M
artistic,artystyczny,polish,M
super-imaginative,fantastyczny,polish,M
genius,genialny,polish,M
brilliant,błyskotliwy,polish,M
super-smart,bardzo mądry,polish,M
relatives,krewni,polish,F
wedding,ślub,polish,F
marriage,małżeństwo,polish,F
cousins,kuzynki,polish,F
family,rodzina,polish,F
children,dzieci,polish,F
parents,rodzice,polish,F
home,domowa,polish,F
career,karierowa,polish,F
business,biznesowa,polish,F
office,biurowa,polish,F
salary,pensja,polish,F
corporation,korporacyjna,polish,F
professional,profesionalna,polish,F
management,zarząd,polish,F
executive,dyrektorka,polish,F
creative,kreatywna,polish,F
artistic,artystyczna,polish,F
super-imaginative,fantastyczna,polish,F
genius,genialna,polish,F
brilliant,błyskotliwa,polish,F
super-smart,bardzo mądra,polish,F
daughter,dotter,swedish,N
hers,hennes,swedish,N
her,henne,swedish,N
she,hon,swedish,N
sister,syster,swedish,N
girl,flicka,swedish,N
woman,kvinna,swedish,N
female,kvinna,swedish,N
son,son,swedish,N
his,hans,swedish,N
him,honom,swedish,N
he,han,swedish,N
brother,bror,swedish,N
boy,pojke,swedish,N
man,man,swedish,N
male,man,swedish,N
relatives,släktingar,swedish,N
wedding,bröllop,swedish,N
marriage,äktenskap/giftemål,swedish,N
cousins,kusiner,swedish,N
family,familj,swedish,N
children,barn,swedish,N
parents,föräldrar,swedish,N
home,hem/hemma,swedish,N
career,karriär,swedish,N
business,företag,swedish,N
office,kontor,swedish,N
salary,lön,swedish,N
corporation,företag,swedish,N
professional,yrkesman/ yrkeskvinna,swedish,N
management,ledning,swedish,N
executive,verkställande,swedish,N
creative,NA,swedish,N
artistic,NA,swedish,N
super-imaginative,NA,swedish,N
genius,NA,swedish,N
brilliant,NA,swedish,N
super-smart,NA,swedish,N
daughter,datter,norwegian,N
hers,hennes,norwegian,N
her,henne,norwegian,N
she,hun,norwegian,N
sister,søster,norwegian,N
girl,pike,norwegian,N
woman,kvinne,norwegian,N
female,hunn,norwegian,N
son,sønn,norwegian,N
his,hans,norwegian,N
him,ham,norwegian,N
he,han,norwegian,N
brother,bror,norwegian,N
boy,gutt,norwegian,N
man,Mann,norwegian,N
male,mann,norwegian,N
relatives,slektninger,norwegian,N
wedding,bryllup,norwegian,N
marriage,ekteskap,norwegian,N
cousins,søskenbarn,norwegian,N
family,familie,norwegian,N
children,barn,norwegian,N
parents,foreldre,norwegian,N
home,hjem,norwegian,N
career,karriere,norwegian,N
business,virksomhet,norwegian,N
office,kontor,norwegian,N
salary,lønn,norwegian,N
corporation,selskap,norwegian,N
professional,profesjonell,norwegian,N
management,ledelse,norwegian,N
executive,utøvende,norwegian,N
creative,kreativ,norwegian,N
artistic,kunstnerisk,norwegian,N
super-imaginative,høyst fantasifull,norwegian,N
genius,geni,norwegian,N
brilliant,glimrende,norwegian,N
super-smart,svært intelligent,norwegian,N
daughter,dcéra,slovak,N
hers,jej,slovak,N
her,jej,slovak,N
she,ona,slovak,N
sister,sestra,slovak,N
girl,dievča,slovak,N
woman,žena,slovak,N
female,žena/ženského pohlavia,slovak,N
son,syn,slovak,N
his,jeho,slovak,N
him,jemu,slovak,N
he,on,slovak,N
brother,brat,slovak,N
boy,chlapec,slovak,N
man,muž,slovak,N
male,muž/mužského pohlavia,slovak,N
relatives,príbuzný,slovak,M
wedding,svadba,slovak,M
marriage,manželstvo,slovak,M
cousins,bratranec,slovak,M
family,rodina,slovak,M
children,deti,slovak,M
parents,rodičia,slovak,M
home,dom,slovak,M
career,kariéra,slovak,M
business,podnikanie,slovak,M
office,kancelária,slovak,M
salary,plat,slovak,M
corporation,korporácie/spoločnosť,slovak,M
professional,profesionálny,slovak,M
management,management/riadenie,slovak,M
executive,výkonný riaditeľ,slovak,M
creative,tvorivý,slovak,M
artistic,umelecký,slovak,M
super-imaginative,super-nápaditý,slovak,M
genius,génius,slovak,M
brilliant,skvelý,slovak,M
super-smart,super-šikovný,slovak,M
relatives,príbuzný,slovak,F
wedding,svadba,slovak,F
marriage,manželstvo,slovak,F
cousins,sesternica,slovak,F
family,rodina,slovak,F
children,deti,slovak,F
parents,rodičia,slovak,F
home,dom,slovak,F
career,kariéra,slovak,F
business,podnikanie,slovak,F
office,kancelária,slovak,F
salary,plat,slovak,F
corporation,korporácie/spoločnosť,slovak,F
professional,profesionálna,slovak,F
management,management/riadenie,slovak,F
executive,výkonná riaditeľka,slovak,F
creative,tvorivá,slovak,F
artistic,umelecká,slovak,F
super-imaginative,super-nápaditá,slovak,F
genius,génius,slovak,F
brilliant,skvelá,slovak,F
super-smart,super-šikovná,slovak,F
daughter,மகள்,tamil,N
hers,அவளுடைய,tamil,N
her,அவள்,tamil,N
she,அவள்,tamil,N
sister,தமக்கை,tamil,N
girl,பெண்,tamil,N
woman,பெண்,tamil,N
female,பெண்,tamil,N
son,மகன்,tamil,N
his,அவனுடைய,tamil,N
him,அவன்,tamil,N
he,அவன்,tamil,N
brother,தமயன்,tamil,N
boy,ஆண்,tamil,N
man,ஆண்,tamil,N
male,ஆண்,tamil,N
relatives,உறவினா்கள்,tamil,N
wedding,திருமணம்,tamil,N
marriage,கல்யாணம்,tamil,N
cousins,உற்றாா்,tamil,N
family,குடும்பம்,tamil,N
children,குழந்தைகள்,tamil,N
parents,பெற்றோா்கள்,tamil,N
home,வீடு,tamil,N
career,தொழில்,tamil,N
business,வியாபாரம்,tamil,N
office,ஆபீஸ்,tamil,N
salary,சம்பளம்,tamil,N
corporation,மாநகா்,tamil,N
professional,அறிவுசாா்,tamil,N
management,NA,tamil,N
executive,தொழிளாளா்,tamil,N
creative,கைவினையாளா்,tamil,N
artistic,கைவினையாளா்,tamil,N
super-imaginative,சீரீய கற்பனையாளா்,tamil,N
genius,அறிவாளி,tamil,N
brilliant,புத்திசாலி,tamil,N
super-smart,சீரீய புத்திசாலி,tamil,N
daughter,بیٹی,urdu,N
hers,اس کی,urdu,N
her,وہ,urdu,N
she,وہ,urdu,N
sister,بہن,urdu,N
girl,لڑکی,urdu,N
woman,عورت,urdu,N
female,خاتون,urdu,N
son,بیٹا,urdu,N
his,اس کا,urdu,N
him,وہ,urdu,N
he,وہ,urdu,N
brother,بھائی,urdu,N
boy,لڑکا,urdu,N
man,آدمی,urdu,N
male,حضرات,urdu,N
relatives,رشتہ دار,urdu,M
wedding,شادی,urdu,M
marriage,ازدواج,urdu,M
cousins,لڑکی کزن,urdu,M
family,خاندان,urdu,M
children,بچہ,urdu,M
parents,والد,urdu,M
home,گھر,urdu,M
career,روزگار/پیشہ,urdu,M
business,کاروبار,urdu,M
office,دفتر,urdu,M
salary,تنخواں,urdu,M
corporation,کارپوریشن,urdu,M
professional,پیشہ ور,urdu,M
management,انتظامیہ,urdu,M
executive,آفسرعلی,urdu,M
creative,تخلیقی,urdu,M
artistic,فنکارانہ,urdu,M
super-imaginative,تخیلاتی,urdu,M
genius,عقلمند,urdu,M
brilliant,شاندار,urdu,M
super-smart,بہت ہوشیار,urdu,M
relatives,رشتہ دار,urdu,F
wedding,شادی,urdu,F
marriage,ازدواج,urdu,F
cousins,لڑکا کزن,urdu,F
family,خاندان,urdu,F
children,بچی,urdu,F
parents,والدہ,urdu,F
home,گھر,urdu,F
career,روزگار/پیشہ,urdu,F
business,کاروبار,urdu,F
office,دفتر,urdu,F
salary,تنخواں,urdu,F
corporation,کارپوریشن,urdu,F
professional,پیشہ ور,urdu,F
management,انتظامیہ,urdu,F
executive,آفسرعلی,urdu,F
creative,تخلیقی,urdu,F
artistic,فنکارانہ,urdu,F
super-imaginative,تخیلاتی,urdu,F
genius,عقلمند,urdu,F
brilliant,شاندار,urdu,F
super-smart,بہت ہوشیار,urdu,F
daughter,daughter,english,N
hers,hers,english,N
her,her,english,N
she,she,english,N
sister,sister,english,N
girl,girl,english,N
woman,woman,english,N
female,female,english,N
son,son,english,N
his,his,english,N
him,him,english,N
he,he,english,N
brother,brother,english,N
boy,boy,english,N
man,man,english,N
male,male,english,N
relatives,relatives,english,N
wedding,wedding,english,N
marriage,marriage,english,N
cousins,cousins,english,N
family,family,english,N
children,children,english,N
parents,parents,english,N
home,home,english,N
career,career,english,N
business,business,english,N
office,office,english,N
salary,salary,english,N
corporation,corporation,english,N
professional,professional,english,N
management,management,english,N
executive,executive,english,N
creative,creative,english,N
artistic,artistic,english,N
super-imaginative,super-imaginative,english,N
genius,genius,english,N
brilliant,brilliant,english,N
super-smart,super-smart,english,N
daughter,κόρη,greek,N
hers,δικό της,greek,N
her,αυτής,greek,N
she,αυτή,greek,N
sister,αδερφή,greek,N
girl,κορίτσι,greek,N
woman,γυναίκα,greek,N
female,θηλικό,greek,N
son,γιός,greek,N
his,δικό του,greek,N
him,αυτού,greek,N
he,αυτός,greek,N
brother,αδερφός,greek,N
boy,αγόρι,greek,N
man,άντρας,greek,N
male,αρσενικό,greek,N
relatives,συγγενείς,greek,M
wedding,γάμος,greek,M
marriage,γάμος,greek,M
cousins,ξαδερφοί,greek,M
family,οικογένεια,greek,M
children,παιδιά,greek,M
parents,γονείς,greek,M
home,σπίτι,greek,M
career,καριέρα,greek,M
business,δουλειά,greek,M
office,γραφείο,greek,M
salary,μισθός,greek,M
corporation,επιχείρηση,greek,M
professional,επαγγελματίας,greek,M
management,διοίκηση,greek,M
executive,στέλεχος,greek,M
creative,δημιουργικός,greek,M
artistic,καλλιτεχνικός,greek,M
super-imaginative,υπερ-δημιουργικός,greek,M
genius,ιδιοφυής,greek,M
brilliant,λαμπρός,greek,M
super-smart,πανέξυπνος,greek,M
relatives,συγγενείς,greek,F
wedding,γάμος,greek,F
marriage,γάμος,greek,F
cousins,ξαδερφές,greek,F
family,οικογένεια,greek,F
children,παιδιά,greek,F
parents,γονείς,greek,F
home,σπίτι,greek,F
career,καριέρα,greek,F
business,δουλειά,greek,F
office,γραφείο,greek,F
salary,μισθός,greek,F
corporation,επιχείρηση,greek,F
professional,επαγγελματίας,greek,F
management,διοίκηση,greek,F
executive,στέλεχος,greek,F
creative,δημιουργική,greek,F
artistic,καλλιτεχνική,greek,F
super-imaginative,υπερ-δημιουργική,greek,F
genius,ιδιοφυής,greek,F
brilliant,λαμπρή,greek,F
super-smart,πανέξυπνη,greek,F
daughter,lánya,hungarian,N
hers,övé/övéi,hungarian,N
her,őt/neki,hungarian,N
she,ő,hungarian,N
sister,lánytestvér,hungarian,N
girl,lány,hungarian,N
woman,nő,hungarian,N
female,nő/ női,hungarian,N
son,fia,hungarian,N
his,övé,hungarian,N
him,őt/neki,hungarian,N
he,ő,hungarian,N
brother,fiútestvér,hungarian,N
boy,fiú,hungarian,N
man,férfi,hungarian,N
male,férfi,hungarian,N
relatives,rokonok,hungarian,N
wedding,esküvő,hungarian,N
marriage,házasság,hungarian,N
cousins,unokatestvérek,hungarian,N
family,család,hungarian,N
children,gyerekek,hungarian,N
parents,szülők,hungarian,N
home,otthon,hungarian,N
career,karrier,hungarian,N
business,üzlet,hungarian,N
office,iroda,hungarian,N
salary,fizetés,hungarian,N
corporation,vállalat,hungarian,N
professional,szakmai/ szakember,hungarian,N
management,menedzsment,hungarian,N
executive,vezető/végrehajtó,hungarian,N
creative,kreatív,hungarian,N
artistic,művészi,hungarian,N
super-imaginative,fantáziadús,hungarian,N
genius,géniusz / zseni,hungarian,N
brilliant,kiváló,hungarian,N
super-smart,intelligens / lángelme,hungarian,N
daughter,con gái,vietnamese,N
hers,của cô/ của chị/ của bà,vietnamese,N
her,cô ấy/ chị ấy/ bà ấy,vietnamese,N
she,cô ấy/ chị ấy/ bà ấy,vietnamese,N
sister,em gái/chị,vietnamese,N
girl,con gái,vietnamese,N
woman,đàn bà,vietnamese,N
female,nữ,vietnamese,N
son,con trai,vietnamese,N
his,của anh/của ông,vietnamese,N
him,anh ấy/ ông ấy,vietnamese,N
he,anh ấy/ ông ấy,vietnamese,N
brother,em trai/ anh,vietnamese,N
boy,con trai,vietnamese,N
man,đàn ông,vietnamese,N
male,nam,vietnamese,N
relatives,họ hàng,vietnamese,N
wedding,lễ cưới/ đám cưới,vietnamese,N
marriage,hôn nhân,vietnamese,N
cousins,anh họ/ chị họ/ em họ,vietnamese,N
family,gia đình,vietnamese,N
children,con/ con cái/ trẻ em,vietnamese,N
parents,cha mẹ/ba má,vietnamese,N
home,nhà,vietnamese,N
career,nghề nghiệp,vietnamese,N
business,kinh doanh,vietnamese,N
office,văn phòng,vietnamese,N
salary,tiền lương,vietnamese,N
corporation,công ty,vietnamese,N
professional,chuyên nghiệp,vietnamese,N
management,--,vietnamese,N
executive,--,vietnamese,N
creative,NA,vietnamese,N
artistic,nghệ thuật,vietnamese,N
super-imaginative,NA,vietnamese,N
genius,NA,vietnamese,N
brilliant,NA,vietnamese,N
super-smart,thông minh,vietnamese,N
