occupation,mean_gender_rating,language
children,0.53,german
child educators,0.81,german
dressmakers,NA,german
hospital orderlies,NA,german
nannies,NA,german
prison guards,NA,german
socialites,NA,german
switchboard operators,NA,german
acrobats,0.5,czech
acupuncturists,0.51,czech
admirals,0.08,czech
aerobics instructors,0.85,czech
air traffic controllers,0.29,czech
alcoholics,0.4,czech
anglers,0.12,czech
animators,0.62,czech
antique dealers,0.33,czech
apprentices,0.42,czech
architects,0.32,czech
archivists,0.53,czech
artists,0.49,czech
assistants,0.71,czech
assistant chefs,0.48,czech
astrologists,0.41,czech
astronauts,0.17,czech
astronomers,0.23,czech
athletes,0.44,czech
au pairs,0.86,czech
auctioneers,0.36,czech
authors,0.48,czech
babies,0.51,czech
bakers,0.54,czech
ballet dancers,0.77,czech
bankers,0.6,czech
barbers,0.68,czech
bartenders,0.49,czech
baseball players,0.25,czech
basketball players,0.35,czech
bass players,0.28,czech
beauticians,0.87,czech
bingo players,0.46,czech
biologists,0.48,czech
birth attendants,0.73,czech
blacksmiths,0.07,czech
bookkeepers,0.72,czech
bosses,0.32,czech
boutique owners,0.69,czech
boxers,0.16,czech
bricklayers,0.09,czech
building contractors,0.2,czech
bus drivers,0.19,czech
butchers,0.16,czech
cabinet ministers,0.3,czech
camera operators,0.21,czech
campers,0.42,czech
canteen assistants,0.73,czech
car mechanics,0.1,czech
card players,0.24,czech
care workers,0.71,czech
caretakers,0.44,czech
carpenters,0.1,czech
cartoonists,0.31,czech
cashiers,0.69,czech
cat owners,0.77,czech
caterers,0.41,czech
celebrities,0.55,czech
chair persons,0.28,czech
chamber-maids,0.88,czech
cheerleaders,0.69,czech
chefs,0.29,czech
chemists,0.39,czech
children,0.54,czech
child educators,0.83,czech
child-minders,0.85,czech
chiropractors,0.39,czech
chocolate lovers,0.69,czech
choreographers,0.59,czech
cinema goers,0.49,czech
clairvoyants,0.73,czech
cleaners,0.85,czech
clerks,0.69,czech
clients,0.52,czech
clinical psychologists,0.56,czech
clowns,0.17,czech
colonels,0.14,czech
comedians,0.23,czech
company directors,0.27,czech
composers,0.3,czech
computer programmers,0.18,czech
computer specialists,0.19,czech
computer technicians,0.16,czech
conquerors,0.14,czech
conservationists,0.52,czech
construction workers,0.07,czech
cooks,0.5,czech
coordinators,0.49,czech
counseling psychologists,0.54,czech
counsellors,0.45,czech
couriers,0.26,czech
court reporters,0.7,czech
craft workers,0.17,czech
crane operators,0.12,czech
criminals,0.29,czech
cult members,0.41,czech
curators,0.42,czech
customs inspectors,0.18,czech
customs officers,0.25,czech
cyclists,0.37,czech
dance instructors,0.59,czech
dancers,0.68,czech
data processors,0.53,czech
database administrators,0.34,czech
deacons,0.29,czech
dental hygienists,0.61,czech
dental technicians,0.55,czech
dentists,0.56,czech
deputies,0.49,czech
designers,0.61,czech
detectives,0.19,czech
dieticians,0.68,czech
diplomats,0.34,czech
dog owners,0.52,czech
door keepers,0.27,czech
drivers,0.37,czech
driving instructors,0.19,czech
drug addicts,0.39,czech
drug dealers,0.23,czech
drummers,0.24,czech
economists,0.39,czech
editors,0.49,czech
educational psychologists,0.71,czech
electricians,0.11,czech
embezzlers,0.36,czech
engine-drivers,0.16,czech
engineers,0.36,czech
entertainers,0.48,czech
environmentalists,0.45,czech
estate agents,0.43,czech
executives,0.34,czech
executors,0.19,czech
exercise instructors,0.69,czech
exotic dancers,0.83,czech
explorers,0.35,czech
factory managers,0.24,czech
farmers,0.24,czech
fashion models,0.74,czech
fencers,0.18,czech
fig. skaters,0.63,czech
film directors,0.25,czech
film stars,0.48,czech
financial advisers,0.47,czech
financial analysts,0.36,czech
firefighters,0.15,czech
flight attendants,0.78,czech
florists,0.84,czech
flute players,0.65,czech
football coaches,0.09,czech
football players,0.14,czech
forensic psychologists,0.5,czech
forest rangers,0.11,czech
fortune tellers,0.83,czech
funeral directors,0.29,czech
game wardens,0.13,czech
generals,0.06,czech
general managers,0.3,czech
geologists,0.33,czech
goalkeepers,0.15,czech
goldsmiths,0.45,czech
golfers,0.25,czech
government officials,0.58,czech
governors,0.2,czech
graphic designers,0.4,czech
groundkeepers,0.59,czech
groupies,0.56,czech
guards,0.19,czech
guitar players,0.33,czech
gymnasts,0.68,czech
gynaecologists,0.47,czech
hairdressers,0.75,czech
heads of department,0.36,czech
head teachers,0.45,czech
health visitors,0.83,czech
"heavy equipment operators""",0.11,czech
historians,0.4,czech
history professors,0.44,czech
hitchhikers,0.51,czech
homeless persons,0.27,czech
horse riders,0.49,czech
horse trainers,0.43,czech
hospital orderlies,0.54,czech
hotel guests,0.46,czech
hotel managers,0.38,czech
housekeepers,0.64,czech
humanitarians,0.61,czech
humanities professors,0.57,czech
hunters,0.15,czech
ice skaters,0.51,czech
informants,0.35,czech
inmates,0.39,czech
innkeepers,0.36,czech
interior decorators,0.42,czech
interpreters,0.63,czech
inventors,0.23,czech
it consultants,0.17,czech
jailors,0.25,czech
janitors,0.18,czech
jewelers,0.48,czech
job kers,0.53,czech
journalists,0.52,czech
judges,0.4,czech
jugglers,0.27,czech
jurors,0.45,czech
karaoke singers,0.59,czech
kids,0.56,czech
knitters,0.76,czech
lab technicians,0.57,czech
landscape gardeners,0.49,czech
law clerks,0.5,czech
law professors,0.36,czech
lawyers,0.43,czech
librarians,0.78,czech
lieutenants,0.29,czech
lifeguards,0.41,czech
lighthouse keepers,0.19,czech
lodgers,0.49,czech
lorry drivers,0.09,czech
magicians,0.21,czech
magician’s assistants,0.85,czech
make up artists,0.64,czech
managers,0.36,czech
manicurists,0.88,czech
mathematicians,0.27,czech
mayors,0.35,czech
mechanics,0.13,czech
medical doctors,0.47,czech
members of the armed forces,0.15,czech
members of parliament,0.22,czech
metallurgists,0.07,czech
meteorologists,0.52,czech
millionaires,0.23,czech
miners,0.03,czech
models,0.8,czech
mountain climbers,0.28,czech
murderers,0.26,czech
musicians,0.45,czech
neighbours,0.49,czech
neurologists,0.4,czech
neurosurgeons,0.32,czech
news readers,0.57,czech
novelists,0.41,czech
nurses,0.86,czech
nursery teachers,0.91,czech
nutritionists,0.73,czech
occupational therapists,0.5,czech
oceanographers,0.34,czech
office workers,0.71,czech
orchestra conductors,0.21,czech
orthodontists,0.47,czech
palm readers,0.89,czech
parachutists,0.3,czech
parents,0.57,czech
pastry chefs,0.72,czech
patients,0.49,czech
pawnbrokers,0.26,czech
pedestrians,0.49,czech
pediatricians,0.61,czech
pensioners,0.51,czech
persons,0.55,czech
personal trainers,0.38,czech
pharmacists,0.61,czech
philanthropists,0.37,czech
photographers,0.44,czech
physicians,0.46,czech
physicists,0.23,czech
physics students,0.23,czech
physiotherapists,0.59,czech
piano players,0.45,czech
pilots,0.14,czech
playgroup leaders,0.71,czech
plumbers,0.09,czech
poets,0.34,czech
police inspectors,0.4,czech
police officers,0.29,czech
police sergeants,0.23,czech
political activists,0.39,czech
politicians,0.23,czech
porters,0.33,czech
postal workers,0.73,czech
postmen,0.69,czech
presidents,0.12,czech
priests,0.14,czech
primary school teachers,0.79,czech
prison guards,0.24,czech
prisoners,0.29,czech
probation officers,0.59,czech
professional athletes,0.45,czech
professors,0.48,czech
projectionists,0.27,czech
proofreaders,0.56,czech
prostitutes,0.85,czech
protestors,0.42,czech
psychiatrists,0.42,czech
psychology students,0.66,czech
publishers,0.35,czech
racing car drivers,0.15,czech
radio announcers,0.53,czech
radio technicians,0.23,czech
rape victims,0.93,czech
rapists,0.14,czech
receptionists,0.76,czech
relatives,0.5,czech
reporters,0.52,czech
rescue workers,0.29,czech
research scientists,0.36,czech
road workers,0.17,czech
roadies,0.38,czech
romantic novelists,0.77,czech
roofers,0.09,czech
rubbish collectors,0.06,czech
runners,0.45,czech
sailors,0.09,czech
salespersons,0.76,czech
schoolchildrens,0.54,czech
screenwriters,0.41,czech
scuba divers,0.3,czech
sculptors,0.33,czech
secretaries,0.88,czech
serial killers,0.18,czech
sheriffs,0.12,czech
shoemakers,0.4,czech
shoppers,0.59,czech
singers,0.57,czech
single parents,0.75,czech
skiers,0.48,czech
smugglers,0.23,czech
snooker players,0.24,czech
social workers,0.83,czech
socialites,0.44,czech
solarium users,0.76,czech
soldiers,0.15,czech
sound engineers,0.22,czech
spectators,0.58,czech
speech therapists,0.71,czech
sports coachs,0.39,czech
spies,0.23,czech
statisticians,0.3,czech
stockbrokers,0.32,czech
strippers,0.75,czech
structural engineers,0.18,czech
students,0.55,czech
sunbathers,0.8,czech
supervisors,0.34,czech
surfers,0.33,czech
surgeons,0.31,czech
suspects,0.34,czech
swimmers,0.46,czech
switchboard operators,0.58,czech
synchronized swimmers,0.9,czech
systems analysts,0.24,czech
tailors,0.66,czech
tap dancers,0.54,czech
tarot card readers,0.82,czech
tattooists,0.3,czech
tax advisors,0.45,czech
taxi drivers,0.18,czech
taxidermists,0.31,czech
technicians,0.21,czech
technologists,0.22,czech
teenagers,0.53,czech
telephone operators,0.63,czech
tennis players,0.48,czech
terrorists,0.13,czech
theatre directors,0.34,czech
thieves,0.3,czech
ticket inspectors,0.37,czech
toddlers,0.52,czech
toolmakers,0.18,czech
tour guides,0.67,czech
trade unionists,0.32,czech
traffic engineers,0.23,czech
train conductors,0.5,czech
translators,0.6,czech
travel agents,0.65,czech
trumpet players,0.29,czech
tuba players,0.31,czech
typists,0.68,czech
tyre fitters,0.09,czech
undertakers,0.24,czech
vets,0.45,czech
vice chancellors,0.31,czech
victims,0.65,czech
violinists,0.5,czech
waiters,0.56,czech
wardens,0.32,czech
weavers,0.67,czech
wedding planners,0.64,czech
weight lifters,0.21,czech
welders,0.09,czech
wine connoisseurs,0.34,czech
wood carvers,0.22,czech
wood workers,0.1,czech
workers,0.48,czech
wrestlers,0.17,czech
writers,0.45,czech
x-ray technicians,0.51,czech
youngsters,0.51,czech
zoologists,0.46,czech
accountants,0.72,czech
administrative workers,0.71,czech
babysitters,0.85,czech
bank clerks,0.6,czech
bikers,0.37,czech
butlers,NA,czech
cake decorators,0.72,czech
caregivers,0.83,czech
climbers,0.28,czech
customers,0.59,czech
doctors of philosophy,0.46,czech
dressmakers,0.66,czech
fans,0.56,czech
gardeners,0.59,czech
infant teachers,0.91,czech
joggers,0.45,czech
killers,0.26,czech
kindergarten teachers,0.91,czech
leaders,0.34,czech
nannies,NA,czech
private detectives,NA,czech
sales assistants,0.76,czech
shoplifters,0.3,czech
acrobats,0.55,slovak
acupuncturists,0.55,slovak
admirals,0.09,slovak
aerobics instructors,0.84,slovak
air traffic controllers,0.28,slovak
alcoholics,0.32,slovak
anglers,0.11,slovak
animators,0.74,slovak
antique dealers,0.47,slovak
apprentices,0.39,slovak
architects,0.37,slovak
archivists,0.61,slovak
artists,0.45,slovak
assistants,0.69,slovak
assistant chefs,0.41,slovak
astrologists,0.3,slovak
astronauts,0.14,slovak
astronomers,0.16,slovak
athletes,0.45,slovak
au pairs,0.88,slovak
auctioneers,0.32,slovak
authors,0.47,slovak
babies,0.56,slovak
babysitters,0.88,slovak
bakers,0.45,slovak
ballet dancers,0.82,slovak
bank clerks,0.56,slovak
bankers,0.35,slovak
barbers,0.49,slovak
bartenders,0.44,slovak
baseball players,0.13,slovak
basketball players,0.33,slovak
bass players,0.21,slovak
beauticians,0.91,slovak
bingo players,0.41,slovak
biologists,0.55,slovak
birth attendants,0.87,slovak
blacksmiths,0.11,slovak
bookkeepers,0.71,slovak
bosses,0.29,slovak
boutique owners,0.73,slovak
boxers,0.12,slovak
bricklayers,0.04,slovak
building contractors,0.12,slovak
bus drivers,0.15,slovak
butchers,0.16,slovak
butlers,0.48,slovak
cabinet ministers,0.18,slovak
camera operators,0.17,slovak
campers,0.41,slovak
canteen assistants,0.79,slovak
car mechanics,0.07,slovak
card players,0.19,slovak
care workers,0.88,slovak
caregivers,0.81,slovak
caretakers,0.5,slovak
carpenters,0.08,slovak
cartoonists,0.3,slovak
cashiers,0.76,slovak
cat owners,0.8,slovak
caterers,0.22,slovak
celebrities,0.49,slovak
chair persons,0.34,slovak
chamber-maids,0.91,slovak
cheerleaders,0.96,slovak
chefs,0.23,slovak
chemists,0.37,slovak
children,0.54,slovak
child educators,0.86,slovak
child-minders,0.89,slovak
chiropractors,0.36,slovak
chocolate lovers,0.69,slovak
choreographers,0.46,slovak
cinema goers,0.55,slovak
clairvoyants,0.8,slovak
cleaners,0.87,slovak
clerks,0.68,slovak
clients,0.5,slovak
clinical psychologists,0.69,slovak
clowns,0.19,slovak
colonels,0.18,slovak
comedians,0.3,slovak
company directors,0.27,slovak
composers,0.26,slovak
computer programmers,0.14,slovak
computer specialists,0.13,slovak
computer technicians,0.11,slovak
conquerors,0.13,slovak
conservationists,0.47,slovak
construction workers,0.06,slovak
cooks,0.56,slovak
coordinators,0.46,slovak
counseling psychologists,0.7,slovak
counsellors,0.49,slovak
couriers,0.17,slovak
court reporters,0.59,slovak
craft workers,0.23,slovak
crane operators,0.09,slovak
criminals,0.24,slovak
cult members,0.42,slovak
curators,0.48,slovak
customs inspectors,0.18,slovak
customs officers,0.21,slovak
cyclists,0.24,slovak
dance instructors,0.62,slovak
dancers,0.64,slovak
data processors,0.6,slovak
database administrators,0.26,slovak
deacons,0.23,slovak
dental hygienists,0.65,slovak
dental technicians,0.47,slovak
dentists,0.49,slovak
deputies,0.51,slovak
designers,0.59,slovak
detectives,0.22,slovak
dieticians,0.66,slovak
diplomats,0.3,slovak
dog owners,0.5,slovak
door keepers,0.37,slovak
drivers,0.32,slovak
driving instructors,0.15,slovak
drug addicts,0.39,slovak
drug dealers,0.14,slovak
drummers,0.15,slovak
economists,0.51,slovak
editors,0.52,slovak
educational psychologists,0.71,slovak
electricians,0.12,slovak
embezzlers,0.35,slovak
engine-drivers,0.09,slovak
engineers,0.35,slovak
entertainers,0.39,slovak
environmentalists,0.44,slovak
estate agents,0.48,slovak
executives,0.29,slovak
executors,0.29,slovak
exercise instructors,0.6,slovak
exotic dancers,0.8,slovak
explorers,0.25,slovak
factory managers,0.18,slovak
farmers,0.26,slovak
fashion models,0.73,slovak
fencers,0.27,slovak
fig. skaters,0.64,slovak
film directors,0.21,slovak
film stars,0.51,slovak
financial advisers,0.31,slovak
financial analysts,0.3,slovak
firefighters,0.06,slovak
flight attendants,0.81,slovak
florists,0.84,slovak
flute players,0.72,slovak
football coaches,0.08,slovak
football players,0.16,slovak
forensic psychologists,0.39,slovak
forest rangers,0.11,slovak
fortune tellers,0.81,slovak
funeral directors,0.24,slovak
game wardens,0.09,slovak
generals,0.08,slovak
general managers,0.24,slovak
geologists,0.27,slovak
goalkeepers,0.15,slovak
goldsmiths,0.41,slovak
golfers,0.25,slovak
government officials,0.56,slovak
governors,0.14,slovak
graphic designers,0.39,slovak
groundkeepers,0.49,slovak
groupies,0.51,slovak
guards,0.12,slovak
guitar players,0.27,slovak
gymnasts,0.69,slovak
gynaecologists,0.44,slovak
hairdressers,0.73,slovak
heads of department,0.35,slovak
head teachers,0.54,slovak
health visitors,0.68,slovak
"heavy equipment operators""",0.09,slovak
historians,0.37,slovak
history professors,0.4,slovak
hitchhikers,0.47,slovak
homeless persons,0.31,slovak
horse riders,0.53,slovak
horse trainers,0.52,slovak
hospital orderlies,0.63,slovak
hotel guests,0.42,slovak
hotel managers,0.3,slovak
housekeepers,0.62,slovak
humanitarians,0.64,slovak
humanities professors,0.6,slovak
hunters,0.13,slovak
ice skaters,0.59,slovak
infant teachers,0.89,slovak
informants,0.58,slovak
inmates,0.55,slovak
innkeepers,0.38,slovak
interior decorators,0.48,slovak
interpreters,0.65,slovak
inventors,0.25,slovak
it consultants,0.15,slovak
jailors,0.19,slovak
janitors,0.17,slovak
jewelers,0.44,slovak
job kers,0.5,slovak
journalists,0.47,slovak
judges,0.34,slovak
jugglers,0.26,slovak
jurors,0.47,slovak
karaoke singers,0.61,slovak
knitters,0.55,slovak
lab technicians,0.58,slovak
landscape gardeners,0.49,slovak
law clerks,0.44,slovak
law professors,0.3,slovak
lawyers,0.4,slovak
librarians,0.76,slovak
lieutenants,0.17,slovak
lifeguards,0.29,slovak
lighthouse keepers,0.13,slovak
lodgers,0.49,slovak
lorry drivers,0.07,slovak
magicians,0.2,slovak
magician’s assistants,0.88,slovak
make up artists,0.73,slovak
managers,0.35,slovak
manicurists,0.88,slovak
mathematicians,0.27,slovak
mayors,0.29,slovak
mechanics,0.08,slovak
medical doctors,0.49,slovak
members of the armed forces,0.1,slovak
members of parliament,0.2,slovak
metallurgists,0.15,slovak
meteorologists,0.31,slovak
millionaires,0.21,slovak
miners,0.04,slovak
models,0.73,slovak
mountain climbers,0.23,slovak
murderers,0.21,slovak
musicians,0.38,slovak
nannies,0.86,slovak
neighbours,0.55,slovak
neurologists,0.38,slovak
neurosurgeons,0.31,slovak
news readers,0.54,slovak
novelists,0.44,slovak
nurses,0.9,slovak
nursery teachers,0.92,slovak
nutritionists,0.6,slovak
occupational therapists,0.53,slovak
oceanographers,0.31,slovak
office workers,0.78,slovak
orchestra conductors,0.16,slovak
orthodontists,0.43,slovak
palm readers,0.9,slovak
parachutists,0.22,slovak
parents,0.54,slovak
pastry chefs,0.77,slovak
patients,0.49,slovak
pawnbrokers,0.43,slovak
pedestrians,0.5,slovak
pediatricians,0.72,slovak
pensioners,0.6,slovak
persons,0.55,slovak
personal trainers,0.33,slovak
pharmacists,0.68,slovak
philanthropists,0.39,slovak
photographers,0.41,slovak
physicians,0.47,slovak
physicists,0.18,slovak
physics students,0.19,slovak
physiotherapists,0.54,slovak
piano players,0.45,slovak
pilots,0.1,slovak
playgroup leaders,0.84,slovak
plumbers,0.08,slovak
poets,0.34,slovak
police inspectors,0.31,slovak
police officers,0.2,slovak
police sergeants,0.16,slovak
political activists,0.29,slovak
politicians,0.2,slovak
porters,0.22,slovak
postal workers,0.72,slovak
postmen,0.63,slovak
presidents,0.1,slovak
priests,0.07,slovak
primary school teachers,0.82,slovak
prison guards,0.18,slovak
prisoners,0.25,slovak
private detectives,0.13,slovak
probation officers,0.71,slovak
professional athletes,0.38,slovak
professors,0.51,slovak
projectionists,0.28,slovak
proofreaders,0.55,slovak
prostitutes,0.86,slovak
protestors,0.33,slovak
psychiatrists,0.47,slovak
psychology students,0.79,slovak
publishers,0.4,slovak
racing car drivers,0.07,slovak
radio announcers,0.65,slovak
radio technicians,0.21,slovak
rape victims,0.89,slovak
rapists,0.14,slovak
receptionists,0.78,slovak
relatives,0.55,slovak
reporters,0.53,slovak
rescue workers,0.3,slovak
research scientists,0.38,slovak
road workers,0.06,slovak
romantic novelists,0.56,slovak
roofers,0.09,slovak
rubbish collectors,0.06,slovak
runners,0.43,slovak
sailors,0.13,slovak
sales assistants,0.44,slovak
salespersons,0.7,slovak
schoolchildrens,0.56,slovak
screenwriters,0.31,slovak
scuba divers,0.28,slovak
sculptors,0.29,slovak
secretaries,0.87,slovak
serial killers,0.16,slovak
sheriffs,0.15,slovak
shoemakers,0.22,slovak
shoppers,0.56,slovak
singers,0.55,slovak
single parents,0.48,slovak
skiers,0.42,slovak
smugglers,0.14,slovak
snooker players,0.21,slovak
social workers,0.83,slovak
socialites,0.46,slovak
solarium users,0.8,slovak
soldiers,0.15,slovak
sound engineers,0.18,slovak
spectators,0.53,slovak
speech therapists,0.77,slovak
sports coachs,0.36,slovak
spies,0.3,slovak
statisticians,0.39,slovak
stockbrokers,0.37,slovak
strippers,0.76,slovak
structural engineers,0.23,slovak
students,0.56,slovak
sunbathers,0.79,slovak
supervisors,0.36,slovak
surfers,0.23,slovak
surgeons,0.3,slovak
suspects,0.3,slovak
swimmers,0.42,slovak
switchboard operators,0.7,slovak
synchronized swimmers,0.84,slovak
systems analysts,0.17,slovak
tailors,0.84,slovak
tap dancers,0.44,slovak
tarot card readers,0.92,slovak
tattooists,0.2,slovak
tax advisors,0.41,slovak
taxi drivers,0.15,slovak
taxidermists,0.34,slovak
technicians,0.17,slovak
technologists,0.19,slovak
teenagers,0.52,slovak
telephone operators,0.65,slovak
tennis players,0.46,slovak
terrorists,0.12,slovak
theatre directors,0.31,slovak
thieves,0.29,slovak
ticket inspectors,0.43,slovak
toddlers,0.55,slovak
toolmakers,0.22,slovak
tour guides,0.65,slovak
trade unionists,0.3,slovak
traffic engineers,0.22,slovak
train conductors,0.61,slovak
translators,0.61,slovak
travel agents,0.74,slovak
trumpet players,0.25,slovak
tuba players,0.33,slovak
typists,0.68,slovak
tyre fitters,0.08,slovak
undertakers,0.32,slovak
vets,0.47,slovak
vice chancellors,0.31,slovak
victims,0.7,slovak
violinists,0.51,slovak
waiters,0.67,slovak
wardens,0.3,slovak
weavers,0.76,slovak
wedding planners,0.64,slovak
weight lifters,0.13,slovak
welders,0.11,slovak
wine connoisseurs,0.22,slovak
wood carvers,0.18,slovak
wood workers,0.12,slovak
workers,0.49,slovak
wrestlers,0.16,slovak
writers,0.47,slovak
x-ray technicians,0.46,slovak
youngsters,0.54,slovak
zoologists,0.39,slovak
accountants,0.71,slovak
administrative workers,NA,slovak
bikers,0.24,slovak
cake decorators,0.77,slovak
climbers,0.23,slovak
customers,0.56,slovak
doctors of philosophy,0.47,slovak
dressmakers,0.84,slovak
fans,0.51,slovak
gardeners,0.49,slovak
joggers,0.43,slovak
kids,NA,slovak
killers,0.21,slovak
kindergarten teachers,0.92,slovak
leaders,0.36,slovak
roadies,NA,slovak
shoplifters,0.29,slovak
accountants,0.42,norwegian
acrobats,0.53,norwegian
acupuncturists,0.61,norwegian
admirals,0.17,norwegian
aerobics instructors,0.81,norwegian
air traffic controllers,0.26,norwegian
alcoholics,0.35,norwegian
anglers,0.19,norwegian
animators,0.35,norwegian
antique dealers,0.42,norwegian
apprentices,0.47,norwegian
architects,0.42,norwegian
archivists,0.57,norwegian
artists,0.53,norwegian
assistants,0.63,norwegian
assistant chefs,0.58,norwegian
astrologists,0.5,norwegian
astronauts,0.2,norwegian
astronomers,0.28,norwegian
athletes,0.42,norwegian
au pairs,0.86,norwegian
auctioneers,0.31,norwegian
authors,0.51,norwegian
babies,0.51,norwegian
bakers,0.48,norwegian
ballet dancers,0.77,norwegian
bank clerks,0.52,norwegian
bankers,0.45,norwegian
barbers,0.2,norwegian
bartenders,0.42,norwegian
baseball players,0.15,norwegian
basketball players,0.19,norwegian
bass players,0.26,norwegian
beauticians,0.85,norwegian
bikers,0.23,norwegian
bingo players,0.69,norwegian
biologists,0.46,norwegian
birth attendants,0.8,norwegian
blacksmiths,0.21,norwegian
bookkeepers,0.53,norwegian
bosses,0.29,norwegian
boutique owners,0.46,norwegian
boxers,0.25,norwegian
bricklayers,0.19,norwegian
building contractors,0.25,norwegian
bus drivers,0.27,norwegian
butchers,0.26,norwegian
butlers,0.39,norwegian
cabinet ministers,0.37,norwegian
camera operators,0.37,norwegian
campers,0.45,norwegian
canteen assistants,0.61,norwegian
car mechanics,0.16,norwegian
card players,0.36,norwegian
care workers,0.71,norwegian
caregivers,0.77,norwegian
carpenters,0.15,norwegian
cartoonists,0.35,norwegian
cashiers,0.58,norwegian
cat owners,0.69,norwegian
caterers,0.69,norwegian
celebrities,0.52,norwegian
chair persons,0.3,norwegian
chamber-maids,0.86,norwegian
cheerleaders,0.89,norwegian
chefs,0.38,norwegian
chemists,0.45,norwegian
children,0.5,norwegian
child educators,0.69,norwegian
child-minders,0.78,norwegian
chiropractors,0.46,norwegian
chocolate lovers,0.72,norwegian
choreographers,0.61,norwegian
cinema goers,0.51,norwegian
clairvoyants,0.76,norwegian
cleaners,0.74,norwegian
clerks,0.48,norwegian
clients,0.51,norwegian
climbers,0.36,norwegian
clinical psychologists,0.62,norwegian
clowns,0.24,norwegian
colonels,0.16,norwegian
comedians,0.36,norwegian
composers,0.32,norwegian
computer programmers,0.23,norwegian
computer specialists,0.21,norwegian
computer technicians,0.23,norwegian
conquerors,0.19,norwegian
conservationists,0.56,norwegian
construction workers,0.18,norwegian
cooks,0.45,norwegian
counseling psychologists,0.6,norwegian
counsellors,0.59,norwegian
couriers,0.44,norwegian
court reporters,0.52,norwegian
craft workers,0.29,norwegian
crane operators,0.15,norwegian
criminals,0.22,norwegian
cult members,0.52,norwegian
curators,0.48,norwegian
customers,0.52,norwegian
customs inspectors,0.41,norwegian
customs officers,0.35,norwegian
cyclists,0.34,norwegian
dance instructors,0.77,norwegian
dancers,0.73,norwegian
deacons,0.54,norwegian
dental hygienists,0.71,norwegian
dental technicians,0.61,norwegian
dentists,0.49,norwegian
deputies,0.55,norwegian
designers,0.65,norwegian
detectives,0.29,norwegian
dieticians,0.7,norwegian
diplomats,0.36,norwegian
doctors of philosophy,0.34,norwegian
dog owners,0.53,norwegian
door keepers,0.16,norwegian
drivers,0.32,norwegian
driving instructors,0.29,norwegian
drug addicts,0.39,norwegian
drug dealers,0.18,norwegian
drummers,0.21,norwegian
economists,0.39,norwegian
editors,0.43,norwegian
educational psychologists,0.7,norwegian
electricians,0.17,norwegian
embezzlers,0.37,norwegian
engine-drivers,0.21,norwegian
engineers,0.29,norwegian
entertainers,0.54,norwegian
environmentalists,0.6,norwegian
estate agents,0.42,norwegian
executives,0.26,norwegian
executors,0.44,norwegian
exercise instructors,0.56,norwegian
exotic dancers,0.83,norwegian
explorers,0.25,norwegian
factory managers,0.25,norwegian
fans,0.61,norwegian
farmers,0.29,norwegian
fashion models,0.72,norwegian
fencers,0.29,norwegian
fig. skaters,0.7,norwegian
film directors,0.32,norwegian
film stars,0.56,norwegian
financial advisers,0.41,norwegian
financial analysts,0.29,norwegian
firefighters,0.16,norwegian
flight attendants,0.74,norwegian
florists,0.72,norwegian
flute players,0.65,norwegian
football coaches,0.16,norwegian
football players,0.22,norwegian
forensic psychologists,0.45,norwegian
forest rangers,0.22,norwegian
game wardens,0.19,norwegian
gardeners,0.51,norwegian
generals,0.15,norwegian
general managers,0.39,norwegian
geologists,0.37,norwegian
goalkeepers,0.32,norwegian
goldsmiths,0.48,norwegian
golfers,0.41,norwegian
government officials,0.34,norwegian
governors,0.23,norwegian
graphic designers,0.55,norwegian
groupies,0.77,norwegian
guards,0.25,norwegian
guitar players,0.35,norwegian
gymnasts,0.62,norwegian
gynaecologists,0.56,norwegian
hairdressers,0.79,norwegian
heads of department,0.4,norwegian
head teachers,0.47,norwegian
health visitors,0.76,norwegian
"heavy equipment operators""",0.19,norwegian
historians,0.34,norwegian
history professors,0.38,norwegian
hitchhikers,0.35,norwegian
homeless persons,0.35,norwegian
horse riders,0.64,norwegian
horse trainers,0.72,norwegian
hospital orderlies,0.34,norwegian
hotel guests,0.46,norwegian
hotel managers,0.28,norwegian
housekeepers,0.79,norwegian
humanitarians,0.6,norwegian
humanities professors,0.5,norwegian
hunters,0.22,norwegian
ice skaters,0.39,norwegian
informants,0.42,norwegian
inmates,0.2,norwegian
innkeepers,0.5,norwegian
interior decorators,0.69,norwegian
interpreters,0.62,norwegian
inventors,0.33,norwegian
it consultants,0.25,norwegian
jailors,0.24,norwegian
janitors,0.16,norwegian
jewelers,0.5,norwegian
job kers,0.49,norwegian
joggers,0.53,norwegian
journalists,0.53,norwegian
judges,0.34,norwegian
jugglers,0.34,norwegian
jurors,0.53,norwegian
karaoke singers,0.56,norwegian
kids,0.49,norwegian
killers,0.16,norwegian
kindergarten teachers,0.79,norwegian
lab technicians,0.54,norwegian
landscape gardeners,0.39,norwegian
law clerks,0.71,norwegian
law professors,0.37,norwegian
lawyers,0.44,norwegian
leaders,0.33,norwegian
librarians,0.7,norwegian
lieutenants,0.2,norwegian
lifeguards,0.41,norwegian
lighthouse keepers,0.24,norwegian
lodgers,0.49,norwegian
lorry drivers,0.19,norwegian
magicians,0.24,norwegian
managers,0.31,norwegian
manicurists,0.88,norwegian
mathematicians,0.31,norwegian
mayors,0.32,norwegian
mechanics,0.19,norwegian
members of parliament,0.37,norwegian
metallurgists,0.33,norwegian
meteorologists,0.55,norwegian
millionaires,0.29,norwegian
