English,Czech,French,German,Italian,Norwegian,Slovak
radio announcers,rozhlasoví hlasatelé,animateurs radio,radiosprecher,annunciatori radiofonici,programledere i radio,rozhlasoví hlásatelia
radio technicians,rozhlasoví technici,techniciens radio,radiotechniker,radiotecnici,radioteknikere,rozhlasoví technici
rape victims,oběti znásilnění,victimes de viol,vergewaltigungsopfer,vittime di violenza sessuale,voldtektsofre,obete znásilnenia
rapists,násilníci,violeurs,vergewaltiger,violentatori,voldtektsmenn,násilníci
receptionists,recepční,réceptionnistes,rezeptionisten,adetti alla riception,resepsjonister,recepční
relatives,příbuzní,proches,verwandte,parenti,slektninger,príbuzní
reporters,reportéři,journalistes,reporter,cronisti,reportere,reportéri
rescue workers,záchranáři,secouristes,rettungskräfte,soccorritori,redningsarbeidere,záchranári
research scientists,vědečtí pracovníci,chercheurs,forscher,ricercatori scientifici,forskere,vedeckí pracovníci
road workers,cestáři,employés de voirie,straßenbauarbeiter,operai stradali,veiarbeidere,cestári
roadies,roadies,machinistes itinérants,roadies,NA,roadier,NA
romantic novelists,spisovatelé červené knihovny,écrivains de romans à l’eau de rose,autoren von liebesromanen,scrittori di romanzi rosa,forfattere av kjærlighetsromaner,spisovatelia červenej knižnice
roofers,pokrývači,couvreurs,dachdecker,lattonieri,taktekkere,pokrývači
rubbish collectors,popeláři,éboueurs,müllleute,netturbini,søppeltømmere,smetiari
runners,běžci,coureurs,läufer,corridori,løpere,bežci
sailors,námořníci,marins,segler,marinai,seilere,námorníci
sales assistants,prodavači,assistants de vente,verkaufsassistenten,commessi,salgsassistenter,obchodní referenti
salespersons,prodavači,vendeurs,verkäufer,addetti alle vendite,selgere,predavači
schoolchildren,žáci,élèves,schulkinder,scolari,elever,žiaci
screenwriters,scénaristé,scénaristes,drehbuchautoren,sceneggiatori,manusforfattere,scenáristi
scuba divers,potápěči,plongeurs,sporttaucher,sommozzatori,dykkere,potápači
sculptors,sochaři,sculpteurs,bildhauer,scultori,skulptører,sochári
secretaries,sekretáři,secrétaires,sekretäre,segretari,sekretærer,sekretári
serial killers,sérioví vrazi,tueurs en série,serienmörder,pluriomicidi,seriemordere,sérioví vrahovia
sheriffs,šerifové,shérifs,sheriffs,sceriffi,sheriffer,šerifovia
shoemakers,obuvníci,cordonniers,schuhmacher,calzolai,skomakere,obuvníci
shoplifters,zloději,voleurs à l’étalage,ladendiebe,taccheggiatori,butikktyver,zlodeji
shoppers,zákazníci,clients de magasin,käufer,compratori,shoppere,zákazníci
singers,zpěváci,chanteurs,sänger,cantanti,sangere,speváci
single parents,samoživitelé,parents célibataires,alleinerziehende,ragazzi padri,aleneforeldre,samoživitelia
skiers,lyžaři,skieurs,skiläufer,sciatori,skiløpere,lyžiari
smugglers,pašeráci,contrebandiers,schmuggler,contrabbandieri,smuglere,pašeráci
snooker players,hráči kulečníku,joueurs de billard,snookerspieler,giocatori di biliardo,snookerspillere,hráči biliardu
social workers,sociální pracovníci,assistants sociaux,sozialarbeiter,assistenti sociali,sosialarbeidere,sociálni pracovníci
socialites,prominenti,mondains,NA,persone di mondo,NA,prominenti
solarium users,klienti solária,utilisateurs de solarium,solariumnutzer,ultilizzatori di solarium,solariumbrukere,klienti solária
soldiers,vojáci,soldats,soldaten,soldati,soldater,vojaci
sound engineers,zvukaři,ingénieurs du son,toningenieure,ingegneri del suono,lydteknikere,zvukári
spectators,diváci,spectateurs,zuschauer,spettatori,tilskuere,diváci
speech therapists,logopedi,logopédistes,logopäden,logoterapisti,logopeder,logopédi
sports coaches,trenéři,entraîneurs,trainer,allenatori,trenere,tréneri
spies,špióni,espions,spione,spie,spioner,špióni
statisticians,statistici,statisticiens,statistiker,statistici,statistikere,štatistici
stockbrokers,makléři,agents de change,börsenmakler,operatori di borsa,børsmeklere,makléri
strippers,striptéři,stripteaseurs,stripper,spogliarellisti,strippere,striptéri
structural engineers,stavební inženýři,ingénieurs en génie civil,bauingenieure,ingegneri civili,bygningskonstruktører,statici
students,studenti,étudiants,studenten,studenti,studenter,študenti
sunbathers,opalující se,bronzeurs,sonnenbadende,NA,NA,opaľujúci sa muži
supervisors,vedoucí,superviseurs,vorgesetzte,supervisori,oppsynsmenn,vedúci
surfers,surfaři,surfeurs,surfer,surfisti,surfere,surfisti
surgeons,chirurgové,chirurgiens,chirurgen,chirurghi,kirurger,chirurgovia
suspects,podezřelí,suspects,tatverdächtige,indiziati,mistenkte,podozrivé osoby
swimmers,plavci,nageurs,schwimmer,nuotatori,svømmere,plavci
switchboard operators,spojovatelé,standardistes,NA,centralinisti,sentralbordoperatører,spojovatelia
synchronized swimmers,akvabelové,nageurs synchronisés,synchronschwimmer,atleti di nuoto sincronizzato,synkronsvømmere,synchronizovaní plavci
systems analysts,systémoví analytici,analystes systèmes informatiques,systemanalytiker,analisti di sistema,systemanalytikere,systémoví analytici
tailors,krejčí,tailleurs,schneider,sarti,skreddere,krajčíri
tap dancers,stepaři,danseur de claquettes,stepptänzer,ballerini di tip tap,steppere,stepári
tarot card readers,vykladači tarotu,tireurs de cartes,tarot-kartenleger,cartomanti,spåmenn,vykladači tarotových kariet
tattooists,tatéři,tatoueurs,tätowierer,tatuatori,tatovører,tatéri
tax advisors,daňoví poradci,conseillers fiscaux,steuerberater,consulenti fiscali,skatterådgivere,daňoví poradcovia
taxi drivers,taxikáři,conducteurs de taxi,taxifahrer,tassisti,drosjesjåfører,taxikári
taxidermists,preparátoři,taxidermistes,präparatoren,imbalsamatori,utstoppere,preparátori
technicians,technici,techniciens,techniker,tecnici,teknikere,technici
technologists,technologové,technologues,technologen,tecnici,teknologer,technológovia
teenagers,teenageři,adolescents,teenager,adolescenti,tenåringer,adolescenti
telephone operators,telefonní operátoři,opérateurs téléphoniques,telefonisten,telefonisti,telefonoperatører,telefonickí operátori
tennis players,tenisti,joueurs de tennis,tennisspieler,tennisti,tennisspillere,tenisti
terrorists,teroristi,terroristes,terroristen,terroristi,terrorister,teroristi
theatre directors,ředitelé divadel,directeurs de théâtre,theaterdirektoren,registi teatrali,teaterregissører,riaditelia divadiel
thieves,zloději,voleurs,diebe,ladri,tyver,zlodeji
ticket inspectors,kontroloři,contrôleurs,controller,controllori,kontrollører,kontrolóri
toddlers,batolata,nourrissons,kleinkinder,bimbi ai primi passi,smårollinger,batoľatá
toolmakers,nástrojáři,outilleurs,werkzeugmacher,attrezzisti,verktøymakere,nástrojári
tour guides,průvodci,guides touristiques,reiseleiter,guide turistiche,reiseledere,sprievodcovia v cestovnom ruchu
trade unionists,odboráři,syndicalistes,gewerkschafter,sindacalisti,fagforeningsmedlemmer,odborári
traffic engineers,dopravní inženýři,gestionnaires du trafic,verkehrsingenieure,ingegneri del traffico,trafikkingeniører,dopravní inžinieri
train conductors,průvodčí,conducteurs de train,zugschaffner,conducenti di treno,togførere,sprievodcovia
translators,překladatelé,traducteurs,übersetzer,traduttori,oversettere,prekladatelia
travel agents,zaměstnanci cestovní kanceláře,agents de voyage,reisekaufleute,agenti di viaggio,reisebyråagenter,zamestnanci cestovnej kancelárie
trumpet players,trumpetisté,joueurs de trompette,trompeter,trombettisti,trompetister,trubkári
tuba players,hráči na tubu,joueurs de tuba,tubaspieler,suonatori di tuba,tubaspillere,hráči na tube
typists,písaři na stroji,dactylos,schreibkräfte,dattilografi,NA,pisári na stroji
tyre fitters,pracovníci pneuservisu,techniciens du pneu,reifenwechsler,gommisti,NA,pracovníci pneuservisu
undertakers,zaměstnanci pohřebního ústavu,croque-morts,bestatter,becchini,gravferdskonsulenter,podnikatelia
vets,veterináři,vétérinaires,tierärzte,veterinari,dyrleger,veterinári
vice chancellors,vícekancléři,vice chanceliers,vizekanzler,vicecancellieri,NA,vicekancelári
victims,oběti,victimes homme,opfer,vittime,ofre,obete
violinists,houslisté,violonistes,geiger,violinisti,fiolinister,huslisti
waiters,číšníci,serveurs,kellner,camerieri,servitører,čašníci
wardens,správci,gardiens,aufseher,guardiani,voktere,správcovia
weavers,tkalci,tisserands,weber,tessitori,vevere,tkáči
wedding planners,organizátoři svateb,organisateurs de mariages,hochzeitsplaner,organizzatori di matrimonio,bryllupsplanleggere,organizátori svatieb
weight lifters,vzpěrači,haltérophiles,gewichtheber,sollevatori pesi,vektløftere,vzpierači
welders,svářeči,soudeurs,schweißer,saldatori,sveisere,zvárači
wine connoisseurs,znalci vína,amateurs de vin,weinkenner,intenditori di vino,vinkjennere,znalci vína
wood carvers,řezbáři,sculpteurs sur bois,holzschnitzer,intagliatori,treskjærere,rezbári
wood workers,dřevaři,ébénistes,holzbearbeiter,falegnami,tømrere,drevári
workers,pracovníci,ouvriers,arbeiter,operai,arbeidere,pracovníci
wrestlers,zápasníci,catcheurs,ringer,lottatori di wrestling,brytere,zápasníci
writers,spisovatelé,écrivains,schriftsteller,scrittori,skribenter,spisovatelia
x-ray technicians,rentgenologové,radiographes,röntgentechniker,radiologi,røntgenteknikere,röntgenológovia
youngsters,nezletilí,jeunes garçons,jugendliche,giovincelli,ungdommer,mládež
zoologists,zoologové,zoologistes,zoologen,zoologi,zoologer,zoológovia
